pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,match_status,status
1,1,sequential_left_to_right,17.847,10.500,-11.600,7.347,22.100,valid_global_constraint,valid_global_constraint
2,2,sequential_left_to_right,17.847,10.500,-19.500,7.347,30.000,partial_constraint,partial_constraint
3,3,sequential_left_to_right,17.835,10.500,-11.600,7.335,22.100,rule_completed,rule_completed;inferred_bottom
4,4,sequential_left_to_right,17.847,6.500,-15.000,11.347,21.500,rule_completed,rule_completed;inferred_middle
5,5,sequential_left_to_right,17.847,6.500,-15.000,11.347,21.500,valid_global_constraint,valid_global_constraint
6,6,sequential_left_to_right,17.047,6.502,-15.000,10.545,21.502,valid_global_constraint,valid_global_constraint
7,7,sequential_left_to_right,17.895,11.400,-16.000,6.495,27.400,partial_constraint,partial_constraint
8,8,sequential_left_to_right,17.847,6.500,-21.607,11.347,28.107,valid_global_constraint,valid_global_constraint
9,9,sequential_left_to_right,17.847,7.000,-16.000,10.847,23.000,valid_global_constraint,valid_global_constraint
10,10,sequential_left_to_right,17.847,8.000,-16.000,9.847,24.000,rule_completed,rule_completed;inferred_bottom
11,11,sequential_left_to_right,17.835,8.000,-16.000,9.835,24.000,rule_completed,rule_completed;inferred_bottom
12,12,sequential_left_to_right,17.847,8.000,-18.400,9.847,26.400,partial_constraint,partial_constraint
13,13,sequential_left_to_right,17.847,5.700,-18.400,12.147,24.100,valid_global_constraint,valid_global_constraint
14,14,sequential_left_to_right,17.847,8.000,-15.000,9.847,23.000,valid_global_constraint,valid_global_constraint
15,15,sequential_left_to_right,17.095,12.000,-13.000,5.095,25.000,valid_global_constraint,valid_global_constraint
16,16,sequential_left_to_right,17.095,12.000,-13.000,5.095,25.000,rule_completed,"rule_completed;inferred_top,middle"
17,17,sequential_left_to_right,17.839,12.000,-13.000,5.839,25.000,valid_global_constraint,valid_global_constraint
18,18,sequential_left_to_right,17.824,12.000,-13.000,5.824,25.000,valid_global_constraint,valid_global_constraint
19,19,sequential_left_to_right,17.789,12.000,-13.000,5.789,25.000,valid_global_constraint,valid_global_constraint
20,20,sequential_left_to_right,17.770,12.000,-13.000,5.770,25.000,partial_constraint,partial_constraint
21,21,sequential_left_to_right,17.731,12.000,-13.000,5.731,25.000,rule_completed,rule_completed;inferred_bottom
22,22,sequential_left_to_right,15.773,12.000,-13.000,3.773,25.000,rule_completed,"rule_completed;inferred_middle,bottom"
